year     Ap    
2008.01 7.45130410916 
2008.023 7.423166083 
2008.036 7.39526539308 
2008.049 7.36760136489 
2008.062 7.34017332425 
2008.075 7.31298059723 
2008.088 7.28602251022 
2008.101 7.25929838989 
2008.114 7.2328075632 
2008.127 7.20654935742 
2008.14 7.18052310009 
2008.153 7.15472811906 
2008.166 7.12916374247 
2008.179 7.10382929873 
2008.192 7.07872411658 
2008.205 7.05384752503 
2008.218 7.02919885337 
2008.231 7.00477743122 
2008.244 6.98058258845 
2008.257 6.95661365525 
2008.27 6.9328699621 
2008.283 6.90935083977 
2008.296 6.88605561931 
2008.309 6.86298363207 
2008.322 6.8401342097 
2008.335 6.81750668415 
2008.348 6.79510038763 
2008.361 6.77291465267 
2008.374 6.75094881208 
2008.387 6.72920219897 
2008.4 6.70767414675 
2008.413 6.6863639891 
2008.426 6.66527106 
2008.439 6.64439469374 
2008.452 6.62373422488 
2008.465 6.60328898828 
2008.478 6.5830583191 
2008.491 6.56304155279 
2008.504 6.54323802507 
2008.517 6.52364707199 
2008.53 6.50426802987 
2008.543 6.48510023533 
2008.556 6.46614302526 
2008.569 6.44739573688 
2008.582 6.42885770768 
2008.595 6.41052827543 
2008.608 6.39240677823 
2008.621 6.37449255444 
2008.634 6.35678494273 
2008.647 6.33928328204 
2008.66 6.32198691163 
2008.673 6.30489517104 
2008.686 6.2880074001 
2008.699 6.27132293894 
2008.712 6.25484112797 
2008.725 6.23856130791 
2008.738 6.22248281975 
2008.751 6.2066050048 
2008.764 6.19092720463 
2008.777 6.17544876114 
2008.79 6.16016901648 
2008.803 6.14508731313 
2008.816 6.13020299384 
2008.829 6.11551540167 
2008.842 6.10102387995 
2008.855 6.08672777232 
2008.868 6.07262642271 
2008.881 6.05871917533 
2008.894 6.04500537469 
2008.907 6.03148436561 
2008.92 6.01815549318 
2008.933 6.00501810278 
2008.946 5.9920715401 
2008.959 5.97931515111 
2008.972 5.96674828208 
2008.985 5.95437027957 
2008.998 5.94218049043 
2009.011 5.9301782618 
2009.024 5.91836294111 
2009.037 5.9067338761 
2009.05 5.89529041479 
2009.063 5.88403190549 
2009.076 5.8729576968 
2009.089 5.86206713763 
2009.102 5.85135957716 
2009.115 5.84083436489 
2009.128 5.83049085057 
2009.141 5.82032838428 
2009.154 5.81034631639 
2009.167 5.80054399754 
2009.18 5.79092077868 
2009.193 5.78147601105 
2009.206 5.77220904617 
2009.219 5.76311923588 
2009.232 5.75420593228 
2009.245 5.74546848778 
2009.258 5.73690625508 
2009.271 5.72851858717 
2009.284 5.72030483735 
2009.297 5.71226435917 
2009.31 5.70439650653 
2009.323 5.69670063357 
2009.336 5.68917609475 
2009.349 5.68182224482 
2009.362 5.67463843881 
2009.375 5.66762403207 
2009.388 5.6607783802 
2009.401 5.65410083914 
2009.414 5.64759076508 
2009.427 5.64124751454 
2009.44 5.6350704443 
2009.453 5.62905891144 
2009.466 5.62321227336 
2009.479 5.61752988771 
2009.492 5.61201111247 
2009.505 5.60665530588 
2009.518 5.60146182651 
2009.531 5.59643003318 
2009.544 5.59155928503 
2009.557 5.58684894149 
2009.57 5.58229836227 
2009.583 5.57790690739 
2009.596 5.57367393714 
2009.609 5.56959881213 
2009.622 5.56568089324 
2009.635 5.56191954166 
2009.648 5.55831411884 
2009.661 5.55486398657 
2009.674 5.55156850689 
2009.687 5.54842704216 
2009.7 5.54543895502 
2009.713 5.54260360841 
2009.726 5.53992036554 
2009.739 5.53738858995 
2009.752 5.53500764544 
2009.765 5.53277689612 
2009.778 5.53069570638 
2009.791 5.52876344091 
2009.804 5.52697946471 
2009.817 5.52534314303 
2009.83 5.52385384145 
2009.843 5.52251092582 
2009.856 5.52131376231 
2009.869 5.52026171734 
2009.882 5.51935415766 
2009.895 5.5185904503 
2009.908 5.51796996258 
2009.921 5.51749206211 
2009.934 5.51715611679 
2009.947 5.51696149484 
2009.96 5.51690756473 
2009.973 5.51699369525 
